HARGA,LT,LB,JKT,JKM,GRS,KOTA
"5,900,000,000",240,350,4,4,ADA,JAKSEL
"6,000,000,000",178,309,4,3,ADA,JAKSEL
"10,800,000,000",438,540,6,5,ADA,JAKSEL
"55,000,000,000",1500,1200,7,6,ADA,JAKSEL
"14,000,000,000",714,750,5,3,TIDAK ADA,JAKSEL
"6,900,000,000",358,450,4,3,ADA,JAKSEL
"55,000,000,000",1497,1200,5,5,ADA,JAKSEL
"17,500,000,000",1056,600,5,5,ADA,JAKSEL
"3,500,000,000",100,156,5,4,ADA,JAKSEL
"15,500,000,000",340,500,4,4,ADA,JAKSEL
"6,900,000,000",188,350,3,3,TIDAK ADA,JAKSEL
"16,000,000,000",407,575,5,4,ADA,JAKSEL
"11,900,000,000",241,571,4,5,ADA,JAKSEL
"7,500,000,000",188,351,3,3,ADA,JAKSEL
"40,000,000,000",1500,700,4,4,ADA,JAKSEL
"12,500,000,000",371,300,4,4,TIDAK ADA,JAKSEL
"11,000,000,000",438,540,8,4,TIDAK ADA,JAKSEL
"55,000,000,000",1500,1200,6,6,ADA,JAKSEL
"12,000,000,000",512,350,3,4,TIDAK ADA,JAKSEL
"6,500,000,000",230,400,4,4,ADA,JAKSEL
"13,940,000,000",539,610,4,4,TIDAK ADA,JAKSEL
"5,700,000,000",168,170,3,3,TIDAK ADA,JAKSEL
"8,000,000,000",350,350,10,5,TIDAK ADA,JAKSEL
"6,900,000,000",128,315,3,3,TIDAK ADA,JAKSEL
"8,000,000,000",190,420,4,4,ADA,JAKSEL
"5,500,000,000",107,311,4,3,ADA,JAKSEL
"10,700,000,000",400,300,4,3,ADA,JAKSEL
"21,000,000,000",1042,552,5,4,ADA,JAKSEL
"6,500,000,000",200,300,4,4,ADA,JAKSEL
"16,000,000,000",447,500,4,4,ADA,JAKSEL
"13,500,000,000",385,525,5,4,ADA,JAKSEL
"15,750,000,000",1060,375,3,2,ADA,JAKSEL
"23,000,000,000",558,553,8,6,ADA,JAKSEL
"21,000,000,000",1042,550,7,6,ADA,JAKSEL
"19,300,000,000",1287,700,5,3,ADA,JAKSEL
"4,300,000,000",124,187,3,3,ADA,JAKSEL
"20,000,000,000",550,650,4,4,ADA,JAKSEL
"9,550,000,000",251,288,4,4,TIDAK ADA,JAKSEL
"22,000,000,000",455,570,4,5,ADA,JAKSEL
"23,000,000,000",650,600,5,5,ADA,JAKSEL
"55,000,000,000",1500,1000,5,6,ADA,JAKSEL
"17,500,000,000",430,820,5,6,ADA,JAKSEL
"8,000,000,000",299,400,4,4,ADA,JAKSEL
"4,600,000,000",109,180,2,3,ADA,JAKSEL
"15,000,000,000",714,750,5,5,ADA,JAKSEL
"18,000,000,000",600,400,6,6,ADA,JAKSEL
"1,370,000,000",425,216,4,4,TIDAK ADA,JAKSEL
"21,000,000,000",1100,700,5,4,TIDAK ADA,JAKSEL
"12,000,000,000",315,609,5,4,ADA,JAKSEL
"24,300,000,000",1944,1944,5,4,ADA,JAKSEL
"8,000,000,000",380,450,5,5,ADA,JAKSEL
"18,900,000,000",470,660,4,4,TIDAK ADA,JAKSEL
"3,200,000,000",78,65,3,2,ADA,JAKSEL
"21,900,000,000",377,260,6,5,ADA,JAKSEL
"5,600,000,000",269,300,4,4,ADA,JAKSEL
"5,000,000,000",176,400,5,2,ADA,JAKSEL
"15,000,000,000",714,750,5,5,ADA,JAKSEL
"4,800,000,000",276,200,4,3,ADA,JAKSEL
"17,000,000,000",663,530,7,8,ADA,JAKSEL
"7,800,000,000",250,300,4,4,ADA,JAKSEL
"15,000,000,000",755,416,7,6,ADA,JAKSEL
"13,500,000,000",384,450,4,4,ADA,JAKSEL
"26,500,000,000",1047,500,5,3,ADA,JAKSEL
"7,500,000,000",170,300,4,3,ADA,JAKSEL
"11,900,000,000",239,568,4,4,ADA,JAKSEL
"17,500,000,000",477,520,4,3,ADA,JAKSEL
"15,500,000,000",633,530,5,3,ADA,JAKSEL
"5,500,000,000",188,314,4,4,ADA,JAKSEL
"9,900,000,000",741,411,5,5,ADA,JAKSEL
"8,650,000,000",225,518,4,4,ADA,JAKSEL
"3,650,000,000",78,185,3,3,ADA,JAKSEL
"18,500,000,000",660,600,5,4,ADA,JAKSEL
"3,600,000,000",164,150,4,4,ADA,JAKSEL
"3,400,000,000",95,156,4,3,ADA,JAKSEL
"18,000,000,000",786,1000,6,7,ADA,JAKSEL
"17,900,000,000",450,400,4,3,ADA,JAKSEL
"4,500,000,000",124,184,3,3,TIDAK ADA,JAKSEL
"4,500,000,000",300,235,4,4,ADA,JAKSEL
"18,000,000,000",600,500,6,6,ADA,JAKSEL
"15,000,000,000",741,750,5,5,ADA,JAKSEL
"8,000,000,000",380,450,5,5,ADA,JAKSEL
"18,900,000,000",470,660,4,4,TIDAK ADA,JAKSEL
"21,900,000,000",377,260,6,5,ADA,JAKSEL
"5,600,000,000",269,300,4,4,ADA,JAKSEL
"4,000,000,000",117,221,4,3,ADA,JAKSEL
"20,980,000,000",959,455,6,5,ADA,JAKSEL
"3,400,000,000",95,156,4,3,ADA,JAKSEL
"25,000,000,000",1100,550,5,4,ADA,JAKSEL
"11,500,000,000",400,416,5,3,ADA,JAKSEL
"11,510,000,000",233,544,7,7,TIDAK ADA,JAKSEL
"3,600,000,000",78,185,4,4,TIDAK ADA,JAKSEL
"15,000,000,000",250,460,4,4,ADA,JAKSEL
"17,500,000,000",518,450,5,7,ADA,JAKSEL
"4,000,000,000",117,221,4,3,ADA,JAKSEL
"8,000,000,000",350,350,2,1,TIDAK ADA,JAKSEL
"20,000,000,000",550,600,5,5,ADA,JAKSEL
"30,000,000,000",555,527,8,6,ADA,JAKSEL
"27,000,000,000",670,650,4,4,ADA,JAKSEL
"20,000,000,000",1040,600,4,3,ADA,JAKSEL
"15,750,000,000",598,243,4,4,ADA,JAKSEL
"34,500,000,000",974,800,5,6,ADA,JAKSEL
"4,300,000,000",124,184,3,3,ADA,JAKSEL
"8,500,000,000",230,310,5,3,TIDAK ADA,JAKSEL
"9,500,000,000",225,400,3,3,ADA,JAKSEL
"19,000,000,000",520,500,5,5,ADA,JAKSEL
"13,000,000,000",208,458,4,3,ADA,JAKSEL
"11,900,000,000",239,568,4,4,ADA,JAKSEL
"13,000,000,000",616,600,5,4,ADA,JAKSEL
"20,000,000,000",890,600,5,5,ADA,JAKSEL
"7,500,000,000",186,380,3,3,ADA,JAKSEL
"6,150,000,000",158,400,3,3,ADA,JAKSEL
"10,500,000,000",500,700,4,4,ADA,JAKSEL
"13,500,000,000",384,450,4,4,ADA,JAKSEL
"55,000,000,000",1475,1200,5,6,ADA,JAKSEL
"19,000,000,000",358,635,4,5,ADA,JAKSEL
"13,900,000,000",450,248,4,4,ADA,JAKSEL
"29,500,000,000",923,429,9,5,TIDAK ADA,JAKSEL
"22,000,000,000",455,570,4,5,ADA,JAKSEL
"60,000,000,000",1500,1200,6,6,ADA,JAKSEL
"13,000,000,000",314,450,4,4,ADA,JAKSEL
"16,000,000,000",895,420,5,5,ADA,JAKSEL
"18,000,000,000",968,600,4,3,ADA,JAKSEL
"30,000,000,000",1000,800,5,6,ADA,JAKSEL
